Team,Position,PL,W,D,L,GD,PTS
 Arsenal , 1 , 31 , 23 , 5 , 3 , 43 ,74
 Manchester City , 2 , 30 , 22 , 4 , 4 , 50 ,70
 Manchester United , 3 , 30 , 18 , 5 , 7 , 9 ,59
 Newcastle United , 4 , 30 , 15 , 11 , 4 , 24 ,56
 Tottenham Hotspur , 5 , 31 , 16 , 5 , 10 , 12 ,53
 Aston Villa , 6 , 31 , 15 , 5 , 11 , 4 ,50
 Brighton & Hove Albion , 7 , 29 , 14 , 7 , 8 , 17 ,49
 Liverpool , 8 , 29 , 12 , 8 , 9 , 15 ,44
 Brentford , 9 , 31 , 10 , 13 , 8 , 5 ,43
 Fulham , 10 , 30 , 12 , 6 , 12 , 1 ,42
 Chelsea , 11 , 31 , 10 , 9 , 12 , -3 ,39
 Crystal Palace , 12 , 31 , 9 , 9 , 13 , -9 ,36
 Wolverhampton Wanderers , 13 , 31 , 9 , 7 , 15 , -16 ,34
 AFC Bournemouth , 14 , 31 , 9 , 6 , 16 , -28 ,33
 West Ham United , 15 , 30 , 8 , 7 , 15 , -12 ,31
 Leeds United , 16 , 30 , 7 , 8 , 15 , -15 ,29
 Everton , 17 , 31 , 6 , 9 , 16 , -22 ,27
 Nottingham Forest , 18 , 31 , 6 , 9 , 16 , -32 ,27
 Leicester City , 19 , 31 , 7 , 4 , 20 , -14 ,25
 Southampton , 20 , 31 , 6 , 5 , 20 , -29 ,23
